#separator:tab
#html:true
What is a student pilot required to have in their possession to act as PIC?	Student pilot certificate, third class medical certificate, photo ID, CFI solo endorsement
What are the eligibility requirements for a PPL certificate? 61.103	Be at least 17 years of age.<br>Be able to read, speak, write, and understand the English<br>language.<br>Hold at least a current third-class medical certificate.<br>Received the required ground and flight training endorsements.<br>Meet the applicable aeronautical experience requirements.<br>Passed the required knowledge and practical tests.
What privileges and limitations exist for a PPL holder?	"<div style=""text-align: left;""> <br>61.113<br>May act as pic and carry passengers. <br>Allowed in all airspace except class A, day or night. <br>May not fly an airplane for compensation or hire!<br>Cannot pay less than pro rata share with passengers (fuel, rental, oil, airport expenditure)</div>"
Define ADM	ADM, or Aeronautical Decision Making, is a systematic approach to the mental process used by pilots to consistently determine the best course of action in response to a given set of circumstance
What is CCCCC, when does it apply?	<div style='text-align: left;'> <br>CCCCC is an acronym used when a pilot finds themselves lost.  Climb, confess, conserve, comply, communicate. <br>- Climb, gain altitude<br>- Confess, admit to yourself that you are lost<br>- Conserve fuel<br>- Communicate with ATC to allow them to better assist you. Notify ATC if their instruction is unsuitworthy for your situation. Do you have enough fuel to get to the airport ATC is telling you to divert to? Will ATC instruction result in VFR flight into IMC. Help ATC help you. <br>- Comply, do what ATC tells you
What is the process for issuing an emergency AD?	Notice of Proposed Rulemaking (NPRM), followed by a Final Rule<br><br>Final Rule; Request for Comments<br><br>Emergency ADs
When is an Emergency Airworthiness Directive (AD) issued?	An Emergency AD is issued when an unsafe condition exists that requires immediate action by an owner/operator. The intent of an Emergency AD is to rapidly correct an urgent safety of flight situation. 
What is a superseded AD?	An AD is considered no longer in effect when it is superseded by a new AD. The superseding AD identifies the AD that is no longer in effect. There are no compliance requirements for an AD that has been superseded.
What is NTSB and what is its role?	National Transportation Safety Board. The role of the NTSB is to determine probable cause and issue safety recommendations to help prevent similar accidents from occuring in the future
What is an accident? Define. When must a report be filed and under what condition?	- Any person suffers death or serious injury or in which the aircraft receives substantial damage<br>- The operator of the aircraft must file an accident report within ten days or seven days if overdue aircraft is still missing
What is an incident? When must a report be filed with the NTSB?	 An occurrence other than an accident that affects or could affect the safety of operations<br>- The operator of the aircraft is required to submit a report to the nearest NTSB field office <u>when requested</u>
Define operator (regarding NTSB)	Any person who causes or authorizes the operation of an aircraft<br><br>Ex: owner, lessee of an aircraft
What is considered substantial damage?<br>NTSB 830	- Damage or failure that adversely affects the structural strength, performance, or flight characteristics of the aircraft and would usually require significant repair or replacement
What is not considered substantial damage?<br>NTSB	Engine failure or damage limited to an engine if only one engine fails or is damaged<br><br>Bent fairings or cowling<br><br>Dented skin<br><br>Small punctured holes in the skin or fabric<br><br>Ground damage to rotor or propeller blades<br><br>Damage to landing gear, wheels, tires, flaps, engine accessories, brakes, or wingtips
When is immediate notification to NTSB required?<br>NTSB 830	***Any time an aircraft is involved in an accident***<br><br>Any of the following incidents:<br><br>Flight control system malfunction or failure<br><br>The Inability of a required crew-member to perform normal duties<br><br>Failure of structural components of a turbine engine excluding compressor and turbine blades and vanes<br><br>In-flight fire<br><br>Aircraft collide in flight<br><br>Damage to property, other than the aircraft, estimated to exceed $25,000 for repair (including materials and labor) or fair market value in the event of total loss, whichever is less<br><br>For large multi-engine aircraft (more than 12,500 pounds maximum certificated takeoff weight):<br><br>Inflight failure of electrical systems which requires the sustained use of an emergency bus powered by a back-up source such as a battery, auxiliary power unit, or air-driven generator to retain flight control or essential instruments;<br><br>Inflight failure of hydraulic systems that results in sustained reliance on the sole remaining hydraulic or mechanical system for movement of flight control surfaces;<br><br>Sustained loss of the power or thrust produced by two or more engines; and<br><br>An evacuation of aircraft in which an emergency egress system is utilized<br><br>An overdue aircraft believed to be involved in an accident
Manner of notification to the NTSB<br>NTSB 830	The most expeditious method of notification available. (Phone call or notify FAA who would in turn contact NTSB)
Types of info to include in report to NTSB?<br>NTSB 830	Type, nationality, and registration marks of the aircraft<br><br>Name of owner and operator of the aircraft<br><br>Name of the pilot-in-command<br><br>Date and time of the accident, or incident<br><br>Last point of departure, and point of intended landing of the aircraft<br><br>Position of the aircraft with reference to some easily defined geographical point<br><br>Number of persons aboard, number killed, and number seriously injured<br><br>Nature of the accident, or incident, the weather, and the extent of damage to the aircraft so far as is known; and<br><br>A description of any explosives, radioactive materials, or other dangerous articles carried
