#separator:tab
#html:true
What is a student pilot required to have in their possession to act as PIC?	Student pilot certificate, third class medical certificate, photo ID, CFI solo endorsement
What are the eligibility requirements for a PPL certificate? 61.103	Be at least 17 years of age.<br>Be able to read, speak, write, and understand the English<br>language.<br>Hold at least a current third-class medical certificate.<br>Received the required ground and flight training endorsements.<br>Meet the applicable aeronautical experience requirements.<br>Passed the required knowledge and practical tests.
What privileges and limitations exist for a PPL holder?	<div style='text-align: left;'> <br>61.113<br>*May not act as PIC of an airplane for compensation or hire!*<br><br>a. May act as PIC of an aircraft in connection with any business<br>or employment if it is only incidental to that business or<br>employment and does not carry passengers or property for<br>compensation or hire.<br>b. May not pay less than the pro rata share of the operating<br>expenses of a flight with passengers, provided the expenses<br>involve only fuel, oil, airport expenditures, or rental fees.<br>c. May act as PIC of a charitable, nonprofit, or community event<br>flight described in 14 CFR 591.146, if the sponsor and pilot<br>comply with the requirements of that regulation.<br> May be reimbursed for aircraft operating expenses that are<br>directly related to search and location operations, provided the<br>expenses involve only fuel, oil, airport expenditures, or rental<br>fees, and the operation is sanctioned and under the direction<br>and control of local, state, or Federal agencies or organizations<br>that conduct search and location operations.<br>e. May demonstrate an aircraft in flight to a prospective buyer<br>if the private pilot is an aircraft salesman and has at least 200<br>hours of logged flight time.<br>f. May act as PIC of an aircraft towing a glider or unpowered<br>ultralight vehicle, provided they meet the requirements of 14<br>CFR *61.69.<br>g. May act as PIC for the purpose of conducting a production<br>flight test in a light-sport aircraft intended for certification in<br>the light-sport category under 14 CFR *21.190, provided they<br>meet the requirements of *61.113
Define ADM	ADM, or Aeronautical Decision Making, is a systematic approach to the mental process used by pilots to consistently determine the best course of action in response to a given set of circumstance
What is CCCCC, when does it apply?	<div style='text-align: left;'> <br>CCCCC is an acronym used when a pilot finds themselves lost.  Climb, confess, conserve, comply, communicate. <br>- Climb, gain altitude<br>- Confess, admit to yourself that you are lost<br>- Conserve fuel<br>- Communicate with ATC to allow them to better assist you. Notify ATC if their instruction is unsuitworthy for your situation. Do you have enough fuel to get to the airport ATC is telling you to divert to? Will ATC instruction result in VFR flight into IMC. Help ATC help you. <br>- Comply, do what ATC tells you
What is the process for issuing an emergency AD?	Notice of Proposed Rulemaking (NPRM), followed by a Final Rule<br><br>Final Rule; Request for Comments<br><br>Emergency ADs
When is an Emergency Airworthiness Directive (AD) issued?	An Emergency AD is issued when an unsafe condition exists that requires immediate action by an owner/operator. The intent of an Emergency AD is to rapidly correct an urgent safety of flight situation. 
What is a superseded AD?	An AD is considered no longer in effect when it is superseded by a new AD. The superseding AD identifies the AD that is no longer in effect. There are no compliance requirements for an AD that has been superseded.
What is NTSB and what is its role?	National Transportation Safety Board. The role of the NTSB is to determine probable cause and issue safety recommendations to help prevent similar accidents from occuring in the future
What is an accident? Define. When must a report be filed and under what condition?	- Any person suffers death or serious injury or in which the aircraft receives substantial damage<br>- The operator of the aircraft must file an accident report within ten days or seven days if overdue aircraft is still missing
What is an incident? When must a report be filed with the NTSB?	 An occurrence other than an accident that affects or could affect the safety of operations<br>- The operator of the aircraft is required to submit a report to the nearest NTSB field office <u>when requested</u>
Define operator (regarding NTSB)	Any person who causes or authorizes the operation of an aircraft<br><br>Ex: owner, lessee of an aircraft
What is considered substantial damage?<br>NTSB 830	- Damage or failure that adversely affects the structural strength, performance, or flight characteristics of the aircraft and would usually require significant repair or replacement
What is not considered substantial damage?<br>NTSB	Engine failure or damage limited to an engine if only one engine fails or is damaged<br><br>Bent fairings or cowling<br><br>Dented skin<br><br>Small punctured holes in the skin or fabric<br><br>Ground damage to rotor or propeller blades<br><br>Damage to landing gear, wheels, tires, flaps, engine accessories, brakes, or wingtips
